Year,Charges,Convictions,Not Guilty,Nolle,Offense,Table
2012*,4,0,0,4,USING A MACHINE GUN FOR AN AGGRESSIVE PURPOSE OR GIVING ONE TO SOMEONE UNDER AGE 16 (CGS § 53-202(c)),1
2009,1,0,0,1,MANUFACTURER-FAILING TO KEEP MACHINE GUN REGISTER (CGS § 53-202(f)),1
2008,9,1,0,8,ILLEGALLY TRANSFERRING AN ASSAULT WEAPON (CGS § 53-202b(a)(1)),1
2009,7,1,0,6,ILLEGALLY TRANSFERRING AN ASSAULT WEAPON (CGS § 53-202b(a)(1)),1
2010,5,1,0,4,ILLEGALLY TRANSFERRING AN ASSAULT WEAPON (CGS § 53-202b(a)(1)),1
2011,5,2,0,3,ILLEGALLY TRANSFERRING AN ASSAULT WEAPON (CGS § 53-202b(a)(1)),1
2012,6,0,0,6,ILLEGALLY TRANSFERRING AN ASSAULT WEAPON (CGS § 53-202b(a)(1)),1
2008,23,11,0,12,ILLEGALLY POSSESSING AN ASSAULT WEAPON (CGS § 53-202c),1
2009,7,1,0,6,ILLEGALLY POSSESSING AN ASSAULT WEAPON (CGS § 53-202c),1
2010,11,8,0,3,ILLEGALLY POSSESSING AN ASSAULT WEAPON (CGS § 53-202c),1
2011,16,6,0,10,ILLEGALLY POSSESSING AN ASSAULT WEAPON (CGS § 53-202c),1
2012,13,8,0,5,ILLEGALLY POSSESSING AN ASSAULT WEAPON (CGS § 53-202c),1
2008,32,9,0,23,ILLEGALLY POSSESSING AN ASSAULT WEAPON—1ST TIME VIOLATOR WHOSE POSSESSION WAS PREVIOUSLY LEGAL (CGS § 53-202c),1
2009,25,10,0,15,ILLEGALLY POSSESSING AN ASSAULT WEAPON—1ST TIME VIOLATOR WHOSE POSSESSION WAS PREVIOUSLY LEGAL (CGS § 53-202c),1
2010,18,8,0,10,ILLEGALLY POSSESSING AN ASSAULT WEAPON—1ST TIME VIOLATOR WHOSE POSSESSION WAS PREVIOUSLY LEGAL (CGS § 53-202c),1
2011,34,10,0,24,ILLEGALLY POSSESSING AN ASSAULT WEAPON—1ST TIME VIOLATOR WHOSE POSSESSION WAS PREVIOUSLY LEGAL (CGS § 53-202c),1
2012,31,8,0,23,ILLEGALLY POSSESSING AN ASSAULT WEAPON—1ST TIME VIOLATOR WHOSE POSSESSION WAS PREVIOUSLY LEGAL (CGS § 53-202c),1
2009,1,0,0,1,ILLEGALLY TRANSPORTING AN ASSAULT WEAPON (CGS § 53-202f),1
2010,3,0,0,3,ILLEGALLY TRANSPORTING AN ASSAULT WEAPON (CGS § 53-202f),1
2008,3*,0**,0,1,FAILING TO REPORT A LOST OR STOLEN ASSAULT WEAPON (CGS § 53-202g),1
2009,6*,0**,0,2,FAILING TO REPORT A LOST OR STOLEN ASSAULT WEAPON (CGS § 53-202g),1
2011,2*,0**,0,0,FAILING TO REPORT A LOST OR STOLEN ASSAULT WEAPON (CGS § 53-202g),1
2012,7*,0**,0,4,FAILING TO REPORT A LOST OR STOLEN ASSAULT WEAPON (CGS § 53-202g),1
2008,1,0,0,1,"USING AN ASSAULT WEAPON TO COMMIT A CLASS A, B, OR C FELONY (CGS § 53-202j)",1
2008,12,2,0,10,"USING A FIREARM TO COMMIT A CLASS A, B, OR C FELONY (CGS § 53-202k)",1
2009,13,2,0,11,"USING A FIREARM TO COMMIT A CLASS A, B, OR C FELONY (CGS § 53-202k)",1
2010,19,4,0,15,"USING A FIREARM TO COMMIT A CLASS A, B, OR C FELONY (CGS § 53-202k)",1
2011,14,3,0,11,"USING A FIREARM TO COMMIT A CLASS A, B, OR C FELONY (CGS § 53-202k)",1
2012,16,2,1,13,"USING A FIREARM TO COMMIT A CLASS A, B, OR C FELONY (CGS § 53-202k)",1
2012,1,0,0,1,TRANSFERRING AMOR PIERCING OR INCENDIARY AMMUNITION (CGS § 53-202l),1
2012,4,0,0,4,TRAFFICKING IN FIREARMS (CGS § 53-202aa),1
2008,171,29,1,141,ILLEGALLY DISCHARGING A FIREARM (CGS § 53-203),1
2009,174,25,1,148,ILLEGALLY DISCHARGING A FIREARM (CGS § 53-203),1
2010,190,39,3,148,ILLEGALLY DISCHARGING A FIREARM (CGS § 53-203),1
2011,192,36,0,156,ILLEGALLY DISCHARGING A FIREARM (CGS § 53-203),1
2012,173,39,1,133,ILLEGALLY DISCHARGING A FIREARM (CGS § 53-203),1
2008,9*,1,0,7,HUNTING OR DISCHARGING A FIREARM FROM A PUBLIC HIGHWAY (CGS § 53-204),1
2009,5,0,0,5,HUNTING OR DISCHARGING A FIREARM FROM A PUBLIC HIGHWAY (CGS § 53-204),1
2010,1,0,0,1,HUNTING OR DISCHARGING A FIREARM FROM A PUBLIC HIGHWAY (CGS § 53-204),1
2011,2,0,0,2,,1
2012,2,0,0,2,HUNTING OR DISCHARGING A FIREARM FROM A PUBLIC HIGHWAY (CGS § 53-204),1
2008,12,1,0,11,"CARRYING A LOADED SHOTGUN, RIFLE, OR MUZZLELOADER IN A VEHICLE OR SNOWMOBILE (CGS § 53-205)",1
2009,6,3,0,3,"CARRYING A LOADED SHOTGUN, RIFLE, OR MUZZLELOADER IN A VEHICLE OR SNOWMOBILE (CGS § 53-205)",1
2010,18,3,0,15,"CARRYING A LOADED SHOTGUN, RIFLE, OR MUZZLELOADER IN A VEHICLE OR SNOWMOBILE (CGS § 53-205)",1
2011,10,0,0,10,"CARRYING A LOADED SHOTGUN, RIFLE, OR MUZZLELOADER IN A VEHICLE OR SNOWMOBILE (CGS § 53-205)",1
2012,11,4,0,7,"CARRYING A LOADED SHOTGUN, RIFLE, OR MUZZLELOADER IN A VEHICLE OR SNOWMOBILE (CGS § 53-205)",1
2008,1,1,0,0,TRANSFERRING A FACSIMILE FIREARM (CGS § 53-206c(b)),1
2009,2,1,0,1,TRANSFERRING A FACSIMILE FIREARM (CGS § 53-206c(b)),1
2010,2,1,0,1,TRANSFERRING A FACSIMILE FIREARM (CGS § 53-206c(b)),1
2011,5,1,0,4,TRANSFERRING A FACSIMILE FIREARM (CGS § 53-206c(b)),1
2012,2,0,0,2,TRANSFERRING A FACSIMILE FIREARM (CGS § 53-206c(b)),1
2008,71,15,0,56,CARRYING OR USING A FACSIMILE FIREARM (CGS § 53-206c(c)),1
2009,65,12,0,53,CARRYING OR USING A FACSIMILE FIREARM (CGS § 53-206c(c)),1
2010,61,16,0,45,CARRYING OR USING A FACSIMILE FIREARM (CGS § 53-206c(c)),1
2011,57,9,0,48,CARRYING OR USING A FACSIMILE FIREARM (CGS § 53-206c(c)),1
2012,56,11,0,45,CARRYING OR USING A FACSIMILE FIREARM (CGS § 53-206c(c)),1
2008,2,0,0,2,USING A FACSIMILE FIREARM NEAR EMERGENCY PERSONNEL (CGS § 53-206c(d)),1
2010,3,0,0,3,USING A FACSIMILE FIREARM NEAR EMERGENCY PERSONNEL (CGS § 53-206c(d)),1
2012,3,1,0,2,USING A FACSIMILE FIREARM NEAR EMERGENCY PERSONNEL (CGS § 53-206c(d)),1
2008,37*,6,0,31*,CARRYING A LOADED FIREARM UNDER THE INFLUENCE OF DRUGS OR ALCOHOL (CGS § 53-206d(a)),1
2009,39,8,0,31,CARRYING A LOADED FIREARM UNDER THE INFLUENCE OF DRUGS OR ALCOHOL (CGS § 53-206d(a)),1
2010,82,11,0,71,CARRYING A LOADED FIREARM UNDER THE INFLUENCE OF DRUGS OR ALCOHOL (CGS § 53-206d(a)),1
2011,77,8,0,69,CARRYING A LOADED FIREARM UNDER THE INFLUENCE OF DRUGS OR ALCOHOL (CGS § 53-206d(a)),1
2012,72,11,0,61,CARRYING A LOADED FIREARM UNDER THE INFLUENCE OF DRUGS OR ALCOHOL (CGS § 53-206d(a)),1
2008,13,12,0,1,1ST DEGREE MANSLAUGHTER WITH A FIREARM (CGS § 53a-55a),1
2009,21,19,2,0,1ST DEGREE MANSLAUGHTER WITH A FIREARM (CGS § 53a-55a),1
2010,14,11,2,1,1ST DEGREE MANSLAUGHTER WITH A FIREARM (CGS § 53a-55a),1
2011,16,12,2,2,1ST DEGREE MANSLAUGHTER WITH A FIREARM (CGS § 53a-55a),1
2012,14,14,0,0,1ST DEGREE MANSLAUGHTER WITH A FIREARM (CGS § 53a-55a),1
2009,3,3,0,0,2ND DEGREE MANSLAUGHTER WITH A FIREARM (CGS § 53a-56a),1
2012,2,2,0,0,2ND DEGREE MANSLAUGHTER WITH A FIREARM (CGS § 53a-56a),1
2008,29,7,0,22,2ND DEGREE ASSAULT WITH A FIREARM (CGS § 53a-60a),1
2009,24,2,0,22,2ND DEGREE ASSAULT WITH A FIREARM (CGS § 53a-60a),1
2010,16,5,0,11,2ND DEGREE ASSAULT WITH A FIREARM (CGS § 53a-60a),1
2011,14,4,0,10,2ND DEGREE ASSAULT WITH A FIREARM (CGS § 53a-60a),1
2012,34,13,0,21,2ND DEGREE ASSAULT WITH A FIREARM (CGS § 53a-60a),1
2008,3,0,0,3,"2ND DEGREE ASSAULT OF AN ELDERLY, BLIND, DISABLED, PREGNANT, OR INTELLECTUALLY DISABLED PERSON WITH A FIREARM (CGS § 53a-60c)",1
2009,3,0,0,3,"2ND DEGREE ASSAULT OF AN ELDERLY, BLIND, DISABLED, PREGNANT, OR INTELLECTUALLY DISABLED PERSON WITH A FIREARM (CGS § 53a-60c)",1
2010,3,0,0,3,"2ND DEGREE ASSAULT OF AN ELDERLY, BLIND, DISABLED, PREGNANT, OR INTELLECTUALLY DISABLED PERSON WITH A FIREARM (CGS § 53a-60c)",1
2011,4,1,0,3,"2ND DEGREE ASSAULT OF AN ELDERLY, BLIND, DISABLED, PREGNANT, OR INTELLECTUALLY DISABLED PERSON WITH A FIREARM (CGS § 53a-60c)",1
2012,1,0,0,1,"2ND DEGREE ASSAULT OF AN ELDERLY, BLIND, DISABLED, PREGNANT, OR INTELLECTUALLY DISABLED PERSON WITH A FIREARM (CGS § 53a-60c)",1
2009,1,0,0,1,3RD DEGREE SEXUAL ASSAULT WITH A FIREARM (CGS § 53a-72b),1
2010,1,0,0,1,3RD DEGREE SEXUAL ASSAULT WITH A FIREARM (CGS § 53a-72b),1
2011,1,0,0,1,3RD DEGREE SEXUAL ASSAULT WITH A FIREARM (CGS § 53a-72b),1
2008,21,9,1,11,1ST DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-92a),1
2009,36,4,0,32,1ST DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-92a),1
2010,19,2,0,17,1ST DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-92a),1
2011,29,8,1,20,1ST DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-92a),1
2012,37,5,3,29,1ST DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-92a),1
2008,4,3,0,1,2ND DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-94a),1
2009,13,7,0,6,2ND DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-94a),1
2010,3,2,0,1,2ND DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-94a),1
2011,6,4,1,1,2ND DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-94a),1
2012,1,0,0,1,2ND DEGREE KIDNAPPING WITH A FIREARM (CGS § 53a-94a),1
2008,10,4,0,6,2ND DEGREE BURLARY WITH A FIREARM (CGS § 53a-102a),1
2009,1,1,0,0,2ND DEGREE BURLARY WITH A FIREARM (CGS § 53a-102a),1
2010,2,1,0,1,2ND DEGREE BURLARY WITH A FIREARM (CGS § 53a-102a),1
2011,4,2,0,2,2ND DEGREE BURLARY WITH A FIREARM (CGS § 53a-102a),1
2012,3,2,0,1,2ND DEGREE BURLARY WITH A FIREARM (CGS § 53a-102a),1
2008,9,6,0,3,3RD DEGREE BURGLARY WITH A FIREARM (CGS § 53a-103a),1
2009,8,1,0,7,3RD DEGREE BURGLARY WITH A FIREARM (CGS § 53a-103a),1
2010,9,6,0,3,3RD DEGREE BURGLARY WITH A FIREARM (CGS § 53a-103a),1
2011,5,3,0,2,3RD DEGREE BURGLARY WITH A FIREARM (CGS § 53a-103a),1
2012,5,2,0,3,3RD DEGREE BURGLARY WITH A FIREARM (CGS § 53a-103a),1
2008,63,30,0,33,POSSESSING A SAWED-OFF SHOTGUN OR SILENCER (CGS § 53a-211),1
2009,38,16,0,22,POSSESSING A SAWED-OFF SHOTGUN OR SILENCER (CGS § 53a-211),1
2010,46,21,1,24,POSSESSING A SAWED-OFF SHOTGUN OR SILENCER (CGS § 53a-211),1
2011,49,20,0,29,POSSESSING A SAWED-OFF SHOTGUN OR SILENCER (CGS § 53a-211),1
2012,34,15,0,19,POSSESSING A SAWED-OFF SHOTGUN OR SILENCER (CGS § 53a-211),1
2008,392,119,1,272,STEALING A FIREARM (CGS § 53a-212),1
2009,395,114,0,281,STEALING A FIREARM (CGS § 53a-212),1
2010,400,121,0,279,STEALING A FIREARM (CGS § 53a-212),1
2011,448,115,2,331,STEALING A FIREARM (CGS § 53a-212),1
2012,357,106,2,249,STEALING A FIREARM (CGS § 53a-212),1
2008,55,2,1,52,CRIMINAL USE OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-216),1
2009,71,1,1,69,CRIMINAL USE OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-216),1
2010,54,1,0,53,CRIMINAL USE OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-216),1
2011,54,3,1,50,CRIMINAL USE OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-216),1
2012,57,4,0,53,CRIMINAL USE OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-216),1
2008,506,224,10,272,CRIMINAL POSSESSION OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-217),1
2009,417,179,2,236,CRIMINAL POSSESSION OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-217),1
2010,409,191,3,215,CRIMINAL POSSESSION OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-217),1
2011,454,203,7,244,CRIMINAL POSSESSION OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-217),1
2012,442,216,2,224,CRIMINAL POSSESSION OF A FIREARM OR ELECTRONIC DEFENSE WEAPON (CGS § 53a-217),1
2008,11,2,0,9,CRIMINALLY NEGLIGENT STORAGE OF A FIREARM (CGS § 53a-217a),1
2009,8,1,0,7,CRIMINALLY NEGLIGENT STORAGE OF A FIREARM (CGS § 53a-217a),1
2010,17,1,0,16,CRIMINALLY NEGLIGENT STORAGE OF A FIREARM (CGS § 53a-217a),1
2011,8,1,0,7,CRIMINALLY NEGLIGENT STORAGE OF A FIREARM (CGS § 53a-217a),1
2012,10,1,0,9,CRIMINALLY NEGLIGENT STORAGE OF A FIREARM (CGS § 53a-217a),1
2008,371,167,2,202,CRIMINAL POSSESSION OF A PISTOL OR REVOLVER (CGS § 53a-217c),1
2009,339,168,2,169,CRIMINAL POSSESSION OF A PISTOL OR REVOLVER (CGS § 53a-217c),1
2010,335,164,0,171,CRIMINAL POSSESSION OF A PISTOL OR REVOLVER (CGS § 53a-217c),1
2011,372,167,3,202,CRIMINAL POSSESSION OF A PISTOL OR REVOLVER (CGS § 53a-217c),1
2012,343,144,2,197,CRIMINAL POSSESSION OF A PISTOL OR REVOLVER (CGS § 53a-217c),1
2008,"1,273",310,0,963,POSSESSING A WEAPON IN A VEHICLE (CGS § 29-38),2
2009,"1,073",248,0,825,POSSESSING A WEAPON IN A VEHICLE (CGS § 29-38),2
2010,"1,026",222,0,804,POSSESSING A WEAPON IN A VEHICLE (CGS § 29-38),2
2011,"1,089",235,3,851,POSSESSING A WEAPON IN A VEHICLE (CGS § 29-38),2
2012,945,224,6,715,POSSESSING A WEAPON IN A VEHICLE (CGS § 29-38),2
2008,"1,001",280,2,719,CARRYING A DANGEROUS WEAPON (CGS § 53-206),2
2009,953,254,0,699,CARRYING A DANGEROUS WEAPON (CGS § 53-206),2
2010,"1,010",238,3,769,CARRYING A DANGEROUS WEAPON (CGS § 53-206),2
2011,876,206,1,669,CARRYING A DANGEROUS WEAPON (CGS § 53-206),2
2012,790,197,0,593,CARRYING A DANGEROUS WEAPON (CGS § 53-206),2
2008,24,7,0,17,POSSESSING A FIREARM OR DEADLY WEAPON ON SCHOOL GROUNDS (CGS § 53a-217b),2
2009,20,7,0,13,POSSESSING A FIREARM OR DEADLY WEAPON ON SCHOOL GROUNDS (CGS § 53a-217b),2
2010,20,4,0,16,POSSESSING A FIREARM OR DEADLY WEAPON ON SCHOOL GROUNDS (CGS § 53a-217b),2
2011,29,5,0,24,POSSESSING A FIREARM OR DEADLY WEAPON ON SCHOOL GROUNDS (CGS § 53a-217b),2
2012,17,2,0,15,POSSESSING A FIREARM OR DEADLY WEAPON ON SCHOOL GROUNDS (CGS § 53a-217b),2
