Year,Charges,Table,Title,Statute
2017,1,1.0,2nd degree manslaughter with a firearm,CGS  53a-56a
2013,17,1.0,2nd degree assault with a firearm,CGS  53a-60a
2014,15,1.0,2nd degree assault with a firearm,CGS  53a-60a
2015,17,1.0,2nd degree assault with a firearm,CGS  53a-60a
2016,18,1.0,2nd degree assault with a firearm,CGS  53a-60a
2017,14,1.0,2nd degree assault with a firearm,CGS  53a-60a
2013,2,1.0,"2nd degree assault of an elderly, blind, disabled, pregnant, or intellectually disabled person with a firearm",CGS  53a-60c
2017,2,1.0,"2nd degree assault of an elderly, blind, disabled, pregnant, or intellectually disabled person with a firearm",CGS  53a-60c
2013,2,1.0,3rd degree sexual assault with a firearm,CGS  53a-72b
2017,2,1.0,3rd degree sexual assault with a firearm,CGS  53a-72b
2013,38,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2014,16,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2015,18,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2016,20,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2017,10,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2013,4,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2014,9,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2015,2,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2016,1,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2017,6,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2013,3,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2014,7,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2015,3,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2016,3,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2017,3,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2013,5,1.0,3rd degree burglary with a firearm,CGS  53a-103a
2014,6,1.0,3rd degree burglary with a firearm,CGS  53a-103a
2016,1,1.0,3rd degree burglary with a firearm,CGS  53a-103a
2017,1,1.0,3rd degree burglary with a firearm,CGS  53a-103a
2013,43,1.0,Possessing a sawed-off shotgun or silencer,CGS  53a-211
2014,50,1.0,Possessing a sawed-off shotgun or silencer,CGS  53a-211
2015,32,1.0,Possessing a sawed-off shotgun or silencer,CGS  53a-211
2016,22,1.0,Possessing a sawed-off shotgun or silencer,CGS  53a-211
2017,30,1.0,Possessing a sawed-off shotgun or silencer,CGS  53a-211
2013,349,1.0,Stealing a firearm,CGS  53a-212
2014,322,1.0,Stealing a firearm,CGS  53a-212
2015,422,1.0,Stealing a firearm,CGS  53a-212
2016,350,1.0,Stealing a firearm,CGS  53a-212
2017,308,1.0,Stealing a firearm,CGS  53a-212
2013,49,1.0,Criminal use of a firearm or electronic defense weapon,CGS  53a-216
2014,47,1.0,Criminal use of a firearm or electronic defense weapon,CGS  53a-216
2015,45,1.0,Criminal use of a firearm or electronic defense weapon,CGS  53a-216
2016,43,1.0,Criminal use of a firearm or electronic defense weapon,CGS  53a-216
2017,33,1.0,Criminal use of a firearm or electronic defense weapon,CGS  53a-216
2013,640,1.0,Criminal possession of a firearm or electronic defense weapon,CGS  53a-217
2014,580,1.0,Criminal possession of a firearm or electronic defense weapon,CGS  53a-217
2015,573,1.0,Criminal possession of a firearm or electronic defense weapon,CGS  53a-217
2016,573,1.0,Criminal possession of a firearm or electronic defense weapon,CGS  53a-217
2017,592,1.0,Criminal possession of a firearm or electronic defense weapon,CGS  53a-217
2013,18,1.0,Criminally negligent storage of a firearm,CGS  53a-217a
2014,16,1.0,Criminally negligent storage of a firearm,CGS  53a-217a
2015,6,1.0,Criminally negligent storage of a firearm,CGS  53a-217a
2016,12,1.0,Criminally negligent storage of a firearm,CGS  53a-217a
2017,5,1.0,Criminally negligent storage of a firearm,CGS  53a-217a
2013,305,1.0,Criminal possession of a pistol or revolver,CGS  53a-217c
2014,295,1.0,Criminal possession of a pistol or revolver,CGS  53a-217c
2015,299,1.0,Criminal possession of a pistol or revolver,CGS  53a-217c
2016,288,1.0,Criminal possession of a pistol or revolver,CGS  53a-217c
2017,281,1.0,Criminal possession of a pistol or revolver,CGS  53a-217c
2013,854,2.0,Possessing a weapon in a vehicle,CGS  29-38
2014,847,2.0,Possessing a weapon in a vehicle,CGS  29-38
2015,826,2.0,Possessing a weapon in a vehicle,CGS  29-38
2016,841,2.0,Possessing a weapon in a vehicle,CGS  29-38
2017,932,2.0,Possessing a weapon in a vehicle,CGS  29-38
2013,806,2.0,Carrying a dangerous weapon,CGS  53-206
2014,735,2.0,Carrying a dangerous weapon,CGS  53-206
2015,804,2.0,Carrying a dangerous weapon,CGS  53-206
2016,707,2.0,Carrying a dangerous weapon,CGS  53-206
2017,613,2.0,Carrying a dangerous weapon,CGS  53-206
2013,22,2.0,Possessing a firearm or deadly weapon on school grounds,CGS  53a-217b
2014,8,2.0,Possessing a firearm or deadly weapon on school grounds,CGS  53a-217b
2015,15,2.0,Possessing a firearm or deadly weapon on school grounds,CGS  53a-217b
2016,19,2.0,Possessing a firearm or deadly weapon on school grounds,CGS  53a-217b
2017,12,2.0,Possessing a firearm or deadly weapon on school grounds,CGS  53a-217b
2008,7,1.0,Violating pistol permitting requirements,CGS  29-28
2009,1,1.0,Violating pistol permitting requirements,CGS  29-28
2010,10,1.0,Violating pistol permitting requirements,CGS  29-28
2011,8,1.0,Violating pistol permitting requirements,CGS  29-28
2012,5,1.0,Violating pistol permitting requirements,CGS  29-28
2008,2,1.0,Failing to surrender revoked permit to carry a pistol or revolver,CGS  29-32
2009,1,1.0,Failing to surrender revoked permit to carry a pistol or revolver,CGS  29-32
2010,1,1.0,Failing to surrender revoked permit to carry a pistol or revolver,CGS  29-32
2008,107,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2009,71,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2010,99,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2011,206,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2012,60,1.0,Illegally transferring a pistol or revolver,CGS  29-33
2008,1,1.0,Making false statements related to a pistol or revolver transfer,CGS  29-34(a)
2009,1,1.0,Making false statements related to a pistol or revolver transfer,CGS  29-34(a)
2012,2,1.0,Making false statements related to a pistol or revolver transfer,CGS  29-34(a)
2008,7,1.0,Transferring a pistol or revolver to someone under age 21,CGS  29-34(b)
2011,1,1.0,Transferring a pistol or revolver to someone under age 21,CGS  29-34(b)
2012,2,1.0,Transferring a pistol or revolver to someone under age 21,CGS  29-34(b)
2008,681,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2009,649,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2010,675,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2011,655,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2012,652,1.0,Carrying a pistol without a permit,CGS  29-35(a)
2008,7,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2009,9,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2010,12,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2011,9,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2012,8,1.0,Failing to carry a pistol permit,CGS  29-35(b)
2008,103,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2009,102,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2010,90,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2011,110,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2012,78,1.0,"Altering firearm identification mark, number, or name",CGS  29-36
2009,1,1.0,Failing to surrender a revoked gun eligibility certificate,CGS  29-36i
2010,3,1.0,Failing to surrender a revoked gun eligibility certificate,CGS  29-36i
2008,4,1.0,Failing to transfer or surrender a firearmperson ineligibile to possess firearms,CGS  29-36k
2009,1,1.0,Failing to transfer or surrender a firearmperson ineligibile to possess firearms,CGS  29-36k
2010,2,1.0,Failing to transfer or surrender a firearmperson ineligibile to possess firearms,CGS  29-36k
2012,1,1.0,Failing to transfer or surrender a firearmperson ineligibile to possess firearms,CGS  29-36k
2008,1,1.0,Retailersfailing to provide gun locking devices,CGS  29-37b
2009,1,1.0,Retailersfailing to provide gun locking devices,CGS  29-37b
2010,3,1.0,Retailersfailing to provide gun locking devices,CGS  29-37b
2011,2,1.0,Retailersfailing to provide gun locking devices,CGS  29-37b
2012,1,1.0,Retailersfailing to provide gun locking devices,CGS  29-37b
2008,8,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2009,22,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2010,9,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2011,5,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2012,6,1.0,Making a false statement related to transferring a firearm other than a pistol or revolver,CGS  29-37e
2008,17,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2009,7,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2010,26,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2011,20,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2012,12,1.0,Violating loaded firearm safe storage requirements with respect to minors,CGS  29-37i
2009,8,1.0,Purchasing a firearm for transfer to a prohibited person,CGS  29-37j(a)
2010,8,1.0,Purchasing a firearm for transfer to a prohibited person,CGS  29-37j(a)
2011,7,1.0,Purchasing a firearm for transfer to a prohibited person,CGS  29-37j(a)
2012,3,1.0,Purchasing a firearm for transfer to a prohibited person,CGS  29-37j(a)
2008,1,1.0,Soliciting purchase of a firearm to transfer to a prohibited person,CGS  29-37j(b)
2012,2,1.0,Purchasing or soliciting purchase of a firearm to transfer to a prohibited person within five years after a prior felony conviction,CGS  29-37j(c)
2008,2,1.0,Using a machine gun in a violent crime,CGS  53-202(b)
2009,1,1.0,Using a machine gun in a violent crime,CGS  53-202(b)
2012,1,1.0,Using a machine gun in a violent crime,CGS  53-202(b)
2008,3,1.0,Using a machine gun for an aggressive purpose or giving one to someone under age 16,CGS  53-202(c)
2010,5,1.0,Using a machine gun for an aggressive purpose or giving one to someone under age 16,CGS  53-202(c)
2012,4,1.0,Using a machine gun for an aggressive purpose or giving one to someone under age 16,CGS  53-202(c)
2009,1,1.0,Manufacturer-failing to keep machine gun register,CGS  53-202(f)
2008,9,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2009,7,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2010,5,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2011,5,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2012,6,1.0,Illegally transferring an assault weapon,CGS  53-202b(a)(1)
2008,23,1.0,Illegally possessing an assault weapon,CGS  53-202c
2009,7,1.0,Illegally possessing an assault weapon,CGS  53-202c
2010,11,1.0,Illegally possessing an assault weapon,CGS  53-202c
2011,16,1.0,Illegally possessing an assault weapon,CGS  53-202c
2012,13,1.0,Illegally possessing an assault weapon,CGS  53-202c
2008,32,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2009,25,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2010,18,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2011,34,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2012,31,1.0,Illegally possessing an assault weapon1st time violator whose possession was previously legal,CGS  53-202c
2009,1,1.0,Illegally transporting an assault weapon,CGS  53-202f
2010,3,1.0,Illegally transporting an assault weapon,CGS  53-202f
2008,3,1.0,Failing to report a lost or stolen assault weapon,CGS  53-202g
2009,6,1.0,Failing to report a lost or stolen assault weapon,CGS  53-202g
2011,2,1.0,Failing to report a lost or stolen assault weapon,CGS  53-202g
2012,7,1.0,Failing to report a lost or stolen assault weapon,CGS  53-202g
2008,1,1.0,"Using an assault weapon to commit a class a, b, or c felony",CGS  53-202j
2008,12,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2009,13,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2010,19,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2011,14,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2012,16,1.0,"Using a firearm to commit a class a, b, or c felony",CGS  53-202k
2012,1,1.0,Transferring amor piercing or incendiary ammunition,CGS  53-202l
2012,4,1.0,Trafficking in firearms,CGS  53-202aa
2008,171,1.0,Illegally discharging a firearm,CGS  53-203
2009,174,1.0,Illegally discharging a firearm,CGS  53-203
2010,190,1.0,Illegally discharging a firearm,CGS  53-203
2011,192,1.0,Illegally discharging a firearm,CGS  53-203
2012,173,1.0,Illegally discharging a firearm,CGS  53-203
2008,9,1.0,Hunting or discharging a firearm from a public highway,CGS  53-204
2009,5,1.0,Hunting or discharging a firearm from a public highway,CGS  53-204
2010,1,1.0,Hunting or discharging a firearm from a public highway,CGS  53-204
2011,2,1.0,,
2012,2,1.0,Hunting or discharging a firearm from a public highway,CGS  53-204
2008,12,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2009,6,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2010,18,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2011,10,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2012,11,1.0,"Carrying a loaded shotgun, rifle, or muzzleloader in a vehicle or snowmobile",CGS  53-205
2008,1,1.0,Transferring a facsimile firearm,CGS  53-206c(b)
2009,2,1.0,Transferring a facsimile firearm,CGS  53-206c(b)
2010,2,1.0,Transferring a facsimile firearm,CGS  53-206c(b)
2011,5,1.0,Transferring a facsimile firearm,CGS  53-206c(b)
2012,2,1.0,Transferring a facsimile firearm,CGS  53-206c(b)
2008,71,1.0,Carrying or using a facsimile firearm,CGS  53-206c(c)
2009,65,1.0,Carrying or using a facsimile firearm,CGS  53-206c(c)
2010,61,1.0,Carrying or using a facsimile firearm,CGS  53-206c(c)
2011,57,1.0,Carrying or using a facsimile firearm,CGS  53-206c(c)
2012,56,1.0,Carrying or using a facsimile firearm,CGS  53-206c(c)
2008,2,1.0,Using a facsimile firearm near emergency personnel,CGS  53-206c(d)
2010,3,1.0,Using a facsimile firearm near emergency personnel,CGS  53-206c(d)
2012,3,1.0,Using a facsimile firearm near emergency personnel,CGS  53-206c(d)
2008,37,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2009,39,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2010,82,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2011,77,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2012,72,1.0,Carrying a loaded firearm under the influence of drugs or alcohol,CGS  53-206d(a)
2008,13,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2009,21,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2010,14,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2011,16,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2012,14,1.0,1st degree manslaughter with a firearm,CGS  53a-55a
2009,3,1.0,2nd degree manslaughter with a firearm,CGS  53a-56a
2012,2,1.0,2nd degree manslaughter with a firearm,CGS  53a-56a
2008,29,1.0,2nd degree assault with a firearm,CGS  53a-60a
2009,24,1.0,2nd degree assault with a firearm,CGS  53a-60a
2010,16,1.0,2nd degree assault with a firearm,CGS  53a-60a
2011,14,1.0,2nd degree assault with a firearm,CGS  53a-60a
2012,34,1.0,2nd degree assault with a firearm,CGS  53a-60a
2008,3,1.0,"2nd degree assault of an elderly, blind, disabled, pregnant, or intellectually disabled person with a firearm",CGS  53a-60c
2009,3,1.0,"2nd degree assault of an elderly, blind, disabled, pregnant, or intellectually disabled person with a firearm",CGS  53a-60c
2010,3,1.0,"2nd degree assault of an elderly, blind, disabled, pregnant, or intellectually disabled person with a firearm",CGS  53a-60c
2011,4,1.0,"2nd degree assault of an elderly, blind, disabled, pregnant, or intellectually disabled person with a firearm",CGS  53a-60c
2012,1,1.0,"2nd degree assault of an elderly, blind, disabled, pregnant, or intellectually disabled person with a firearm",CGS  53a-60c
2009,1,1.0,3rd degree sexual assault with a firearm,CGS  53a-72b
2010,1,1.0,3rd degree sexual assault with a firearm,CGS  53a-72b
2011,1,1.0,3rd degree sexual assault with a firearm,CGS  53a-72b
2008,21,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2009,36,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2010,19,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2011,29,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2012,37,1.0,1st degree kidnapping with a firearm,CGS  53a-92a
2008,4,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2009,13,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2010,3,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2011,6,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2012,1,1.0,2nd degree kidnapping with a firearm,CGS  53a-94a
2008,10,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2009,1,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2010,2,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2011,4,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2012,3,1.0,2nd degree burlary with a firearm,CGS  53a-102a
2008,9,1.0,3rd degree burglary with a firearm,CGS  53a-103a
2009,8,1.0,3rd degree burglary with a firearm,CGS  53a-103a
2010,9,1.0,3rd degree burglary with a firearm,CGS  53a-103a
2011,5,1.0,3rd degree burglary with a firearm,CGS  53a-103a
2012,5,1.0,3rd degree burglary with a firearm,CGS  53a-103a
2008,63,1.0,Possessing a sawed-off shotgun or silencer,CGS  53a-211
2009,38,1.0,Possessing a sawed-off shotgun or silencer,CGS  53a-211
2010,46,1.0,Possessing a sawed-off shotgun or silencer,CGS  53a-211
